Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (mcg)",Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B6 (mg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Caffeine (mg),Theobromine (mg),Price per Weight (£/100Gram),GHG(kgco3eq/100g)
30.0,0.2,0.7,10.54,1.69,2.8,0.022000000000000002,33.0,0.6,102.0,6.0,7.74,88.26,19.0,36.0,-1.73,18.0,2.0,0.11,0.065,0.4,0.03,0.02,0.2,0.043,8.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0,19.0,55.0,0.0,0.0,0.0,0.0,0.0,0.613636364,0.0317
355.0,5.4,8.6,74.9,25.1,7.7,0.6,36.0,8.19,324.0,67.0,67.2,10.0,36.0,1353.0,3.4730000000000003,225.0,239.0,2.59,0.32899999999999996,21.2,0.68,0.76,9.1,3.64,727.0,708.0,19.0,156.0,12.0,7.0,0.0,259.0,2500.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0988
144.0,5.64,21.64,0.14,0.07,0.0,1.4609999999999999,11.0,0.86,224.0,25.0,0.14,72.69,76.0,1337.0,11.847999999999999,183.0,112.0,1.78,0.077,21.3,0.048,0.185,7.631,0.599,7.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,1826.0,1466.0,2.0,4.0,3.0,0.0,0.0,0.457142857,0.6092
21.0,0.2,0.9,4.54,1.1,1.8,0.053,86.0,0.22,288.0,12.0,2.74,93.61,0.0,99.0,-6.551,14.0,4.0,0.1,0.021,1.1,0.02,0.03,0.3,0.024,7.0,0.0,7.0,0.0,61.0,0.0,0.0,170.0,39.0,99.0,0.0,0.0,0.0,0.0,0.0,0.875,0.075
279.0,4.78,21.93,52.1,7.27,10.4,0.115,1246.0,42.46,4466.0,694.0,41.7,7.3,0.0,328.0,-100.14,481.0,211.0,4.72,1.786,29.3,1.252,1.5,10.707,0.61,274.0,0.0,274.0,0.0,3407.0,31.0,0.0,2428.0,2232.0,328.0,0.0,0.0,0.0,0.0,0.0,4.375,0.09699999999999999
41.0,0.0,0.09,10.42,10.38,0.0,0.0,2.0,0.02,1.0,1.0,10.42,89.49,0.0,0.0,-0.028999999999999998,0.0,10.0,0.01,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5752
118.0,0.17,1.53,27.88,0.5,4.1,0.037000000000000005,17.0,0.54,816.0,21.0,23.78,69.6,12.0,64.0,-15.206,55.0,9.0,0.24,0.17800000000000002,0.7,0.11199999999999999,0.032,0.552,0.293,23.0,0.0,23.0,0.0,83.0,0.0,0.0,0.0,6.0,76.0,0.0,0.0,0.0,0.0,0.0,0.08900000000000001,0.037000000000000005
127.0,0.5,8.67,22.8,0.32,6.4,0.073,35.0,2.22,405.0,42.0,16.4,66.94,170.0,108.0,-0.7509999999999999,138.0,1.0,1.0,0.21600000000000003,1.1,0.16,0.057999999999999996,0.578,0.12,130.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,39.0,278.0,0.0,0.0,0.0,0.0,0.0,0.2,0.161
150.0,3.71,29.13,0.0,0.0,0.0,1.368,15.0,2.35,314.0,13.0,0.0,65.82,18.0,198.0,15.732000000000001,233.0,417.0,4.42,0.055999999999999994,27.8,0.043,0.248,6.132999999999999,0.397,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1587.0,283.0,4.0,12.0,2.0,0.0,0.0,1.2,5.957000000000001
587.0,49.66,24.35,21.26,4.9,8.4,7.723,58.0,1.58,634.0,178.0,12.86,1.81,36.0,9728.0,6.55,363.0,6.0,2.77,0.428,9.3,0.152,0.19699999999999998,14.355,0.466,97.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,26181.0,9773.0,0.0,0.0,0.0,0.0,0.0,0.381818182,0.2497
376.0,6.73,12.09,73.23,4.36,9.4,1.5,401.0,33.17,641.0,114.0,63.83,5.13,68.0,2356.0,1.985,481.0,497.0,16.73,0.385,24.9,1.327,0.1,20.967,2.39,714.0,695.0,19.0,990.0,0.0,0.0,0.0,149.0,2376.0,2432.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0988
357.0,0.32,84.08,4.51,0.0,0.0,0.11800000000000001,101.0,0.18,884.0,82.0,4.51,5.48,0.0,45.0,22.925,104.0,1299.0,0.13,0.128,192.0,0.0,3.71,0.773,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,125.0,45.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4507
121.0,3.04,23.37,0.0,0.0,0.0,1.0859999999999999,13.0,1.45,319.0,12.0,0.0,73.43,22.0,187.0,12.45,222.0,53.0,3.42,0.042,22.6,0.063,0.184,6.72,0.644,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1266.0,233.0,4.0,10.0,2.0,0.0,0.0,1.392156863,5.957000000000001
263.0,8.84,2.72,43.05,1.73,1.4,0.7809999999999999,40.0,0.63,124.0,31.0,41.65,43.37,769.0,1608.0,10.664000000000001,359.0,505.0,0.5,0.08900000000000001,0.4,0.08,0.04,1.8030000000000002,0.067,8.0,0.0,8.0,0.0,1.0,0.0,0.0,44.0,4456.0,2375.0,3.0,0.0,0.0,0.0,0.0,2.0,0.1441
397.0,18.55,5.64,55.29,33.08,1.8,5.39,144.0,2.26,164.0,32.0,53.49,18.54,7.0,4584.0,1.3259999999999998,128.0,309.0,0.72,0.18100000000000002,13.9,0.18600000000000003,0.226,1.521,0.047,41.0,28.0,13.0,30.0,1.0,0.0,0.0,60.0,7109.0,5229.0,0.0,1.0,6.0,11.0,86.0,0.45,0.1441
